UID,GID,PLAYER,PA,PC,PY,INT,TDP,RA,SRA,RY,TDR,TRG,REC,RECY,TDRE,FUML,PENY,FPTS,GAME,SEAS,YEAR,TEAM
1,3189,EM-0200,32,21,213,0,1,0,0,0,0,0,0,0,0,0,0,12.5,1,9,2012,NYG
2,3189,HN-0500,0,0,0,0,0,0,0,0,0,6,4,38,0,0,0,3.8,1,4,2012,NYG
3,3189,VC-0300,0,0,0,0,0,0,0,0,0,11,6,58,0,0,15,4.3,1,3,2012,NYG
4,3189,DM-4300,0,0,0,0,0,20,12,131,0,2,2,9,0,0,0,14,1,2,2012,DAL
5,3189,TR-0800,29,22,307,1,3,5,2,14,0,0,0,0,0,0,10,22.7,1,9,2012,DAL
6,3189,FJ-0300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2012,DAL
7,3189,AB-2600,0,0,0,0,0,17,6,78,1,2,2,15,0,0,0,15.3,1,6,2012,NYG
8,3189,DW-4050,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,-1.6,1,1,2012,NYG
9,3189,MB-1800,0,0,0,0,0,0,0,0,0,6,4,40,1,0,0,10,1,5,2012,NYG
10,3189,MA-1400,0,0,0,0,0,0,0,0,0,4,4,73,1,0,0,13.3,1,7,2012,DAL
11,3189,KO-0300,0,0,0,0,0,0,0,0,0,11,8,114,2,0,0,23.4,1,4,2012,DAL
12,3189,JW-6000,0,0,0,0,0,0,0,0,0,3,2,10,0,0,15,-0.5,1,10,2012,DAL
13,3189,DB-5300,0,0,0,0,0,0,0,0,0,5,4,85,0,0,5,8,1,3,2012,DAL
14,3189,LV-0200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,2012,DAL
15,3189,JH-0860,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,1,1,1,2012,DAL
16,3189,DH-3200,0,0,0,0,0,0,0,0,0,5,3,55,0,0,0,5.5,1,6,2012,NYG
17,3189,HH-0400,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.1,1,2,2012,NYG
18,3189,JP-2800,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0.6,1,4,2012,DAL
19,3189,BP-0200,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0.6,1,4,2012,NYG
20,3190,JC-6200,35,21,333,1,2,4,0,-4,0,0,0,0,0,0,0,18.9,1,7,2012,CHI
21,3190,MF-1300,0,0,0,0,0,16,8,80,1,6,3,40,0,0,0,18,1,5,2012,CHI
22,3190,AJ-0430,0,0,0,0,0,0,0,0,0,5,3,80,1,0,0,14,1,1,2012,CHI
23,3190,AL-1100,45,23,309,3,1,2,2,9,0,0,0,0,0,1,0,9.3,1,1,2012,IND
24,3190,DJ-2650,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0.8,1,1,2012,IND
25,3190,DB-4800,0,0,0,0,0,9,4,48,1,2,0,0,0,0,0,10.8,1,4,2012,IND
26,3190,RW-1100,0,0,0,0,0,0,0,0,0,18,9,135,0,0,0,13.5,1,12,2012,IND
27,3190,ER-0450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2012,CHI
28,3190,BM-0300,0,0,0,0,0,0,0,0,0,15,9,119,1,0,0,17.9,1,7,2012,CHI
29,3190,KD-0400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,-1,1,5,2012,CHI
30,3190,MB-5200,0,0,0,0,0,12,4,42,2,0,0,0,0,0,0,16.2,1,5,2012,CHI
31,3190,LB-0850,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,1,1,1,2012,IND
32,3190,VB-0050,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0.6,1,1,2012,IND
33,3190,EB-0600,0,0,0,0,0,0,0,0,0,4,3,50,0,0,0,5,1,5,2012,CHI
34,3190,DH-2700,0,0,0,0,0,1,0,-4,0,2,2,27,0,0,10,1.3,1,7,2012,CHI
35,3190,DA-2100,0,0,0,0,0,0,0,0,0,8,3,37,1,0,0,9.7,1,5,2012,IND
36,3190,KA-0300,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,1.7,1,2,2012,CHI
37,3190,CF-0650,0,0,0,0,0,0,0,0,0,10,6,82,0,0,0,8.2,1,1,2012,IND
38,3190,KA-0250,0,0,0,0,0,0,0,0,0,4,2,26,0,0,0,2.6,1,1,2012,IND
39,3190,MM-4800,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,1.1,1,9,2012,IND
40,3191,MV-0300,56,29,317,4,2,7,2,28,0,0,0,0,0,0,0,15.5,1,12,2012,PHI
41,3191,LM-1000,0,0,0,0,0,20,13,110,0,9,6,26,0,1,0,11.6,1,4,2012,PHI
42,3191,BC-0700,0,0,0,0,0,0,0,0,0,8,4,65,0,0,0,6.5,1,6,2012,PHI
43,3191,JM-0200,0,0,0,0,0,0,0,0,0,14,7,96,1,0,20,13.6,1,4,2012,PHI
44,3191,DJ-0200,0,0,0,0,0,1,1,5,0,11,4,77,0,0,0,8.2,1,5,2012,PHI
45,3191,TR-0350,0,0,0,0,0,19,5,39,0,3,1,5,0,0,0,4.4,1,1,2012,CLE
46,3191,BW-0850,35,12,118,4,0,2,1,22,0,0,0,0,0,0,0,-1.1,1,1,2012,CLE
47,3191,MM-1300,0,0,0,0,0,0,0,0,0,8,3,41,0,0,0,4.1,1,4,2012,CLE
48,3191,TB-1060,0,0,0,0,0,1,1,35,0,6,1,12,0,0,0,4.7,1,1,2012,CLE
49,3191,JA-2900,0,0,0,0,0,0,0,0,0,5,4,27,0,0,0,2.7,1,7,2012,PHI
50,3191,AS-1700,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,-0.1,1,8,2012,CLE
51,3191,BW-0700,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0.9,1,9,2012,CLE
52,3191,GL-0400,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,2,2012,CLE
53,3191,DJ-0950,0,0,0,0,0,0,0,0,0,3,1,10,0,0,0,1,1,1,2012,PHI
54,3191,CH-1200,0,0,0,0,0,0,0,0,0,6,3,16,1,0,0,7.6,1,3,2012,PHI
55,3191,BJ-0300,0,0,0,0,0,0,0,0,0,4,2,20,0,0,0,2,1,6,2012,CLE
56,3191,OM-0200,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2012,CLE
57,3191,JG-2450,0,0,0,0,0,0,0,0,0,4,2,32,0,0,0,3.2,1,1,2012,CLE
58,3191,JC-0400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2012,CLE
59,3191,BB-3350,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0.3,1,1,2012,PHI
60,3192,MT-2400,0,0,0,0,0,11,3,32,0,0,0,0,0,0,0,3.2,1,9,2012,ATL
61,3192,MR-2500,31,23,299,0,3,3,3,25,1,0,0,0,0,0,5,32,1,5,2012,ATL
62,3192,TG-1300,0,0,0,0,0,0,0,0,0,6,5,53,1,0,0,11.3,1,16,2012,ATL
63,3192,JJ-4700,0,0,0,0,0,0,0,0,0,9,6,108,2,0,0,22.8,1,2,2012,ATL
64,3192,RW-2200,0,0,0,0,0,0,0,0,0,8,6,87,0,0,0,8.7,1,8,2012,ATL
65,3192,MP-0100,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0.6,1,3,2012,ATL
66,3192,PH-0500,0,0,0,0,0,7,1,16,0,3,3,8,0,0,0,2.4,1,5,2012,KC
67,3192,MC-0700,33,21,258,2,1,4,3,20,1,0,0,0,0,1,0,16.3,1,8,2012,KC
68,3192,SB-1400,0,0,0,0,0,0,0,0,0,4,2,30,0,0,0,3,1,6,2012,KC
69,3192,JC-2300,0,0,0,0,0,16,8,87,0,0,0,0,0,0,0,8.7,1,5,2012,KC
70,3192,TM-3000,0,0,0,0,0,0,0,0,0,6,3,37,0,0,0,3.7,1,3,2012,KC
71,3192,DB-3200,0,0,0,0,0,0,0,0,0,6,3,53,0,0,0,5.3,1,6,2012,KC
72,3192,HD-0300,0,0,0,0,0,0,0,0,0,4,3,32,0,0,0,3.2,1,5,2012,ATL
73,3192,DM-1200,0,0,0,0,0,0,0,0,0,10,6,82,0,0,0,8.2,1,3,2012,KC
74,3192,SD-0800,0,0,0,0,0,6,4,29,1,2,2,12,0,0,15,8.6,1,2,2012,KC
75,3192,KB-1500,0,0,0,0,0,0,0,0,0,2,2,36,1,0,0,9.6,1,6,2012,KC
76,3192,JR-2800,0,0,0,0,0,7,3,22,0,2,2,13,0,0,0,3.5,1,2,2012,ATL
77,3192,LP-0600,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,2012,ATL
78,3192,JS-4800,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0.5,1,6,2012,ATL
79,3193,MS-0100,27,19,265,1,3,0,0,0,0,0,0,0,0,0,5,20.1,1,4,2012,NYJ
80,3193,SH-1150,0,0,0,0,0,0,0,0,0,6,5,89,2,0,0,20.9,1,1,2012,NYJ
81,3193,SG-1300,0,0,0,0,0,27,11,94,1,1,0,0,0,0,0,15.4,1,4,2012,NYJ
82,3193,JM-3600,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.3,1,3,2012,NYJ
83,3193,JC-5900,0,0,0,0,0,0,0,0,0,4,3,33,0,0,0,3.3,1,3,2012,NYJ
84,3193,SC-0400,0,0,0,0,0,0,0,0,0,6,4,38,1,0,5,9.3,1,6,2012,BUF
85,3193,FJ-0100,0,0,0,0,0,6,2,15,0,0,0,0,0,0,0,1.5,1,6,2012,BUF
86,3193,RF-0500,32,18,195,3,3,2,1,8,0,0,0,0,0,0,0,14.6,1,8,2012,BUF
87,3193,SJ-0600,0,0,0,0,0,0,0,0,0,10,4,55,1,0,0,11.5,1,5,2012,BUF
88,3193,JK-1000,0,0,0,0,0,0,0,0,0,4,4,45,1,0,0,10.5,1,2,2012,NYJ
89,3193,BP-1200,0,0,0,0,0,3,2,10,0,1,1,16,0,0,0,2.6,1,2,2012,NYJ
90,3193,SH-1300,0,0,0,0,0,0,0,0,0,8,4,68,0,0,0,6.8,1,7,2012,NYJ
91,3193,TT-0700,0,0,0,0,0,5,1,11,0,0,0,0,0,0,5,0.6,1,3,2012,NYJ
92,3193,CS-3400,0,0,0,0,0,14,8,169,1,3,2,25,0,1,0,23.4,1,3,2012,BUF
93,3193,DJ-2700,0,0,0,0,0,0,0,0,0,7,5,41,1,0,0,10.1,1,3,2012,BUF
94,3193,LS-1400,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0.5,1,2,2012,BUF
95,3193,DN-0500,0,0,0,0,0,0,0,0,0,5,2,31,0,0,0,3.1,1,3,2012,BUF
96,3193,DK-0400,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0.7,1,5,2012,NYJ
97,3193,CS-0600,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0.8,1,5,2012,NYJ
98,3193,TC-1300,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0.3,1,5,2012,BUF
99,3194,NB-0800,0,0,0,0,0,1,1,6,0,8,6,69,0,0,0,7.5,1,10,2012,DET
